Polomer	h	k	B	Cp	b	z1	y1	z2	y2	x
0.5475	1.047186889	0.3511512432	0.2222933752	0.5436144753	0.08398976425	27.77358737	3.526583187	-55.54717474	-7.053166373	547.5
0.555	1.045911889	0.3512049995	0.2195263215	0.5435378927	0.08300920002	27.45887534	3.409443977	-54.91775068	-6.818887953	555
0.5625	1.044686889	0.3512470808	0.2168229908	0.5434472534	0.08204999972	27.15058961	3.296661776	-54.30117921	-6.593323551	562.5
0.57	1.043507889	0.351322763	0.2141883487	0.5433432428	0.08110861284	26.84757459	3.188115475	-53.69514919	-6.37623095	570
0.5775	1.042373889	0.3513915099	0.2116138033	0.5432264935	0.08018718778	26.55060254	3.083551821	-53.10120508	-6.167103643	577.5
0.585	1.041282889	0.3514457581	0.20909621	0.5430976057	0.07928566067	26.25969254	2.982782416	-52.51938508	-5.965564832	585
0.5925	1.040231889	0.3515153087	0.2066382216	0.5429571515	0.07840159896	25.9740596	2.885688234	-51.9481192	-5.771376467	592.5
0.6	1.039218889	0.3516029504	0.2042383145	0.5428056671	0.07753435847	25.69352194	2.792114183	-51.38704389	-5.584228366	600
0.6075	1.038242889	0.3516803954	0.201890425	0.5426436521	0.07668523963	25.41855264	2.701863847	-50.83710527	-5.403727695	607.5
0.615	1.037301889	0.3517565512	0.1995941998	0.5424715851	0.07585320371	25.14883147	2.614808152	-50.29766293	-5.229616303	615
0.6225	1.036392889	0.3518821659	0.1973553516	0.5422899273	0.07503471431	24.88319316	2.530889919	-49.76638633	-5.061779839	622.5
0.63	1.035516889	0.3519642391	0.1951587541	0.5420990867	0.07423499786	24.62342996	2.449834004	-49.24685992	-4.899668008	630
0.6375	1.034670889	0.3520598671	0.19301119	0.5418994774	0.07345015187	24.36824928	2.37160638	-48.73649857	-4.74321276	637.5
0.645	1.033853889	0.3521552356	0.1909092102	0.5416914786	0.07268059459	24.11781605	2.296068363	-48.23563211	-4.592136725	645
0.6525	1.033064889	0.3522382441	0.188849746	0.5414754489	0.07192662371	23.87225267	2.223090205	-47.74450534	-4.44618041	652.5
0.66	1.032301889	0.3523405121	0.186835848	0.5412517384	0.07118600393	23.63082602	2.152613637	-47.26165204	-4.305227274	660
0.6675	1.031563889	0.3524566606	0.1848654149	0.5410206712	0.07045869423	23.39354195	2.084528981	-46.78708389	-4.169057962	667.5
0.675	1.030849889	0.3525834442	0.1829367149	0.5407825546	0.06974453155	23.16036382	2.01873478	-46.32072764	-4.037469559	675
0.6825	1.030159889	0.3526749911	0.1810424194	0.5405376698	0.06904573945	22.93205757	1.955071889	-45.86411515	-3.910143778	682.5
0.69	1.029490889	0.3528214133	0.1791933801	0.5402863172	0.06835692379	22.70682239	1.893585111	-45.41364479	-3.787170222	690
0.6975	1.028843889	0.3529357699	0.1773769556	0.5400287393	0.0676826037	22.48619509	1.834064048	-44.97239017	-3.668128097	697.5
0.705	1.028217889	0.3530213878	0.1755926421	0.539765187	0.06702222157	22.27000146	1.776435189	-44.54000293	-3.552870378	705
0.7125	1.027609889	0.3531823295	0.1738528082	0.5394959267	0.06636981642	22.0562489	1.720771497	-44.1124978	-3.441542994	712.5
0.72	1.027021889	0.3532834347	0.1721391054	0.53922115	0.06573240286	21.8473099	1.666807932	-43.69461979	-3.333615865	720
0.7275	1.026450889	0.353435562	0.1704646815	0.5389411018	0.06510373701	21.64109576	1.614632465	-43.28219152	-3.229264931	727.5
0.735	1.025897889	0.3535520996	0.1688177033	0.5386559658	0.06448814002	21.43907056	1.564057549	-42.87814112	-3.128115098	735
0.7425	1.025361889	0.353647573	0.1671992011	0.5383659401	0.06388452777	21.2408797	1.515041481	-42.48175939	-3.030082962	742.5
0.75	1.024840889	0.353794234	0.1656171831	0.5380712343	0.06328888443	21.04518319	1.467623604	-42.09036639	-2.935247209	750
