Polomer	h	k	B	Cp	b	z1	y1	z2	y2	x
0.45	1.122032889	0.353368936	0.340515219	0.535103888	0.16282703	50.69018355	21.0389157	-107.2932519	-18.38031609	450
0.45625	1.118857889	0.3531845448	0.3366204639	0.5356865949	0.1613324226	50.30570085	20.65002588	-106.3785184	-17.79741888	456.25
0.4625	1.115801889	0.3530060925	0.332806001	0.5362395629	0.1598561197	49.92305416	20.27078221	-105.471581	-17.23236914	462.5
0.46875	1.112858889	0.3528359535	0.3290702514	0.5367640871	0.1583978551	49.54232864	19.90092646	-104.5724907	-16.68463001	468.75
0.475	1.110022889	0.3526810015	0.3254127358	0.5372613962	0.1569567682	49.163395	19.54018515	-103.6808772	-16.15372948	475
0.48125	1.107288889	0.3525402421	0.3218311345	0.5377326551	0.1555329945	48.78646563	19.18832357	-102.7970478	-15.63912012	481.25
0.4875	1.104652889	0.3524034748	0.3183210763	0.5381789685	0.1541277871	48.41213599	18.84514818	-101.9220691	-15.14016561	487.5
0.49375	1.102109889	0.3522763833	0.3148819745	0.5386013863	0.1527403605	48.04028304	18.51040241	-101.05559	-14.65642385	493.75
0.5	1.099655889	0.352155179	0.3115111048	0.5390009051	0.1513710958	47.67118465	18.18387329	-100.1980544	-14.18736073	500
0.50625	1.097286889	0.3520390583	0.3082065019	0.5393784717	0.150019975	47.30497323	17.86533983	-99.34962102	-13.73249053	506.25
0.5125	1.094998889	0.3519303655	0.3049669582	0.5397349865	0.1486865809	46.94163643	17.55457362	-98.51016545	-13.29137695	512.5
0.51875	1.092787889	0.3518347553	0.3017920231	0.5400713058	0.1473700974	46.58101781	17.25133944	-97.67928163	-12.86363396	518.75
0.525	1.090651889	0.3517315297	0.2986755275	0.5403882424	0.1460728326	46.22404205	16.95550544	-96.85869986	-12.4485996	525
0.53125	1.088585889	0.3516466391	0.2956215561	0.5406865732	0.1447915337	45.86969488	16.66677099	-96.04632623	-12.04613881	531.25
0.5375	1.086587889	0.3515643561	0.2926251497	0.5409670345	0.143527883	45.518673	16.38499506	-95.2434461	-11.65567226	537.5
0.54375	1.084654889	0.3514860236	0.2896851257	0.5412303292	0.1422815253	45.17095991	16.10997827	-94.4499398	-11.27682157	543.75
0.55	1.082783889	0.3514156067	0.2868008821	0.5414771268	0.1410518052	44.82643056	15.84151761	-93.66547614	-10.90924922	550
0.55625	1.080971889	0.3513598179	0.2839723962	0.5417080661	0.139837767	44.48485181	15.57940679	-92.88951345	-10.55265879	556.25
0.5625	1.079217889	0.3512941178	0.2811932347	0.5419237531	0.1386419735	44.14720592	15.32354985	-92.12390918	-10.20643244	562.5
0.56875	1.077517889	0.3512462841	0.2784678095	0.5421247705	0.1374610827	43.81242446	15.0736793	-91.36647927	-9.870523043	568.75
0.575	1.075870889	0.3511952381	0.2757905389	0.5423116701	0.1362972301	43.48133324	14.82969579	-90.6187771	-9.544375021	575
0.58125	1.074273889	0.3511564587	0.2731633186	0.5424849818	0.1351484818	43.15334499	14.59138442	-89.87957234	-9.227831242	581.25
0.5875	1.072725889	0.3511115602	0.270581284	0.5426452083	0.1340166208	42.82915538	14.35864401	-89.15016583	-8.920389847	587.5
0.59375	1.071223889	0.351080402	0.2680472174	0.5427928336	0.1328992615	42.50801466	14.13125663	-88.42901171	-8.621959297	593.75
0.6	1.069766889	0.3510476079	0.2655569659	0.5429283168	0.1317978347	42.19048974	13.90911957	-87.71716114	-8.332091507	600
0.60625	1.068352889	0.3510180021	0.2631103972	0.5430520985	0.1307115864	41.87638904	13.69207134	-87.01417255	-8.050558433	606.25
0.6125	1.066979889	0.350998499	0.2607077751	0.5431646004	0.1296395617	41.56544906	13.47994942	-86.3194648	-7.777161769	612.5
0.61875	1.065646889	0.3509776032	0.2583458749	0.5432662239	0.1285827382	41.25807065	13.27265035	-85.6337676	-7.511524962	618.75
0.625	1.064351889	0.3509654239	0.2560256186	0.5433573553	0.1275398337	40.9538721	13.07001078	-84.95627084	-7.253500122	625
